id;city_code;name;state_id
933;68895;ZAPATOCA;21
934;70001;SINCELEJO;22
935;70110;BUENAVISTA;22
936;70124;CAIMITO;22
937;70204;COLOSÓ;22
938;70215;COROZAL;22
939;70221;COVEÑAS;22
940;70230;CHALÁN;22
941;70233;EL ROBLE;22
942;70235;GALERAS;22
943;70265;GUARANDA;22
944;70400;LA UNIÓN;22
945;70418;LOS PALMITOS;22
946;70429;MAJAGUAL;22
947;70473;MORROA;22
948;70508;OVEJAS;22
949;70523;PALMITO;22
950;70670;SAMPUÉS;22
951;70678;SAN BENITO ABAD;22
952;70702;SAN JUAN DE BETULIA;22
953;70708;SAN MARCOS;22
954;70713;SAN ONOFRE;22
955;70717;SAN PEDRO;22
956;70742;SAN LUIS DE SINCÉ;22
957;70771;SUCRE;22
958;70820;SANTIAGO DE TOLÚ;22
959;70823;SAN JOSÉ DE TOLUVIEJO;22
960;73001;IBAGUÉ;23
961;73024;ALPUJARRA;23
962;73026;ALVARADO;23
963;73030;AMBALEMA;23
964;73043;ANZOÁTEGUI;23
965;73055;ARMERO;23
966;73067;ATACO;23
967;73124;CAJAMARCA;23
968;73148;CARMEN DE APICALÁ;23
969;73152;CASABIANCA;23
970;73168;CHAPARRAL;23
971;73200;COELLO;23
972;73217;COYAIMA;23
973;73226;CUNDAY;23
974;73236;DOLORES;23
975;73268;ESPINAL;23
976;73270;FALAN;23
977;73275;FLANDES;23
978;73283;FRESNO;23
979;73319;GUAMO;23
980;73347;HERVEO;23
981;73349;HONDA;23
982;73352;ICONONZO;23
983;73408;LÉRIDA;23
984;73411;LÍBANO;23
985;73443;SAN SEBASTIÁN DE MARIQUITA;23
986;73449;MELGAR;23
987;73461;MURILLO;23
